sample_offset_s,node,seq,node_us,sync_us,rx_us,yaw_cd,pitch_cd,roll_cd,x_mm,y_mm,z_mm,gaps
0.015351,2,242,5134000,7886000,7902000,-46,734,-386,-338,146,-398,0
0.020210,1,75,6939000,7901000,7906000,975,825,375,225,375,375,0
0.035479,2,243,5154000,7906000,7922000,-9,711,-369,-327,159,-417,0
0.040970,1,76,6960000,7922000,7927000,1012,848,392,236,388,356,0
0.055722,2,244,5174000,7926000,7942000,28,688,-352,-316,172,-436,0
0.060467,1,77,6980000,7942000,7947000,1049,871,409,247,401,337,0
0.075812,2,245,5194000,7947000,7962000,65,665,-335,-305,185,-455,0
0.080662,1,78,7000000,7962000,7967000,1086,894,426,258,414,318,0
0.095953,2,246,5214000,7967000,7982000,102,642,-318,-294,198,-474,0
0.100798,1,79,7020000,7982000,7987000,1123,883,443,269,427,299,0
0.116163,2,247,5234000,7986000,8002000,139,619,-301,-283,211,-493,0
0.120855,1,80,7040000,8001000,8007000,1160,860,460,280,440,280,0
0.136187,2,248,5254000,8006000,8023000,176,596,-284,-272,224,-512,0
0.141104,1,81,7060000,8021000,8027000,1197,837,477,291,453,261,0
0.156281,2,249,5274000,8026000,8043000,213,573,-267,-261,237,-531,0
0.161084,1,82,7080000,8042000,8047000,1234,814,494,302,466,242,0
0.176957,2,250,5295000,8047000,8063000,250,550,-250,-250,250,-550,0
0.181382,1,83,7101000,8063000,8068000,1271,791,511,313,479,223,0
0.197476,2,251,5315000,8066000,8083000,287,527,-233,-239,263,-569,0
0.201478,1,84,7121000,8083000,8088000,1308,768,528,324,492,204,0
0.217357,2,252,5335000,8087000,8104000,324,504,-216,-228,276,-588,0
0.221543,1,85,7141000,8103000,8108000,1345,745,545,335,505,185,0
0.237505,2,253,5356000,8108000,8124000,361,481,-199,-217,289,-593,0
0.241697,1,86,7161000,8124000,8128000,1382,722,562,346,518,166,0
0.257529,2,254,5376000,8128000,8144000,398,458,-182,-206,302,-574,0
0.261870,1,87,7181000,8143000,8148000,1419,699,579,357,531,147,0
0.277736,2,255,5396000,8148000,8164000,435,435,-165,-195,315,-555,0
0.281881,1,88,7201000,8163000,8168000,1456,676,596,368,544,128,0
0.297956,2,0,5416000,8168000,8184000,-1800,-900,-900,-600,-600,-600,0
0.302121,1,89,7221000,8183000,8188000,1493,653,613,379,557,109,0
0.317989,2,1,5436000,8187000,8204000,-1763,-877,-883,-589,-587,-581,0
0.322227,1,90,7242000,8204000,8209000,1530,630,630,390,570,90,0
0.338138,2,2,5456000,8207000,8224000,-1726,-854,-866,-578,-574,-562,0
0.342246,1,91,7262000,8224000,8229000,1567,607,647,401,583,71,0
0.358155,2,3,5476000,8228000,8245000,-1689,-831,-849,-567,-561,-543,0
0.362570,1,92,7282000,8244000,8249000,1604,584,664,412,596,52,0
0.378451,2,4,5497000,8249000,8265000,-1652,-808,-832,-556,-548,-524,0
0.382737,1,93,7302000,8265000,8269000,1641,561,681,423,591,33,0
0.398612,2,5,5517000,8269000,8285000,-1615,-785,-815,-545,-535,-505,0
0.403395,1,94,7323000,8285000,8290000,1678,538,698,434,578,14,0
0.418657,2,6,5537000,8289000,8305000,-1578,-762,-798,-534,-522,-486,0
0.423471,1,95,7343000,8305000,8310000,1715,515,715,445,565,-5,0
0.439016,2,7,5557000,8310000,8325000,-1541,-739,-781,-523,-509,-467,0
0.443643,1,96,7363000,8325000,8330000,1752,492,732,456,552,-24,0
0.458996,2,8,5577000,8329000,8345000,-1504,-716,-764,-512,-496,-448,0
0.463716,1,97,7383000,8344000,8350000,1789,469,749,467,539,-43,0
0.479161,2,9,5597000,8349000,8365000,-1467,-693,-747,-501,-483,-429,0
0.483790,1,98,7403000,8364000,8370000,1774,446,766,478,526,-62,0
0.499218,2,10,5617000,8369000,8386000,-1430,-670,-730,-490,-470,-410,0
0.503997,1,99,7423000,8384000,8390000,1737,423,783,489,513,-81,0
0.519473,2,11,5638000,8390000,8406000,-1393,-647,-713,-479,-457,-391,0
0.524076,1,100,7444000,8406000,8411000,1700,400,800,500,500,-100,0
0.539549,2,12,5658000,8410000,8426000,-1356,-624,-696,-468,-444,-372,0
0.544274,1,101,7464000,8426000,8431000,1663,377,817,511,487,-119,0
0.559653,2,13,5678000,8431000,8446000,-1319,-601,-679,-457,-431,-353,0
0.564486,1,102,7484000,8446000,8451000,1626,354,834,522,474,-138,0
0.579799,2,14,5698000,8451000,8466000,-1282,-578,-662,-446,-418,-334,0
0.584647,1,103,7504000,8466000,8471000,1589,331,851,533,461,-157,0
0.599977,2,15,5718000,8470000,8486000,-1245,-555,-645,-435,-405,-315,0
0.604657,1,104,7524000,8485000,8491000,1552,308,868,544,448,-176,0
0.620114,2,16,5738000,8490000,8506000,-1208,-532,-628,-424,-392,-296,0
0.624877,1,105,7544000,8505000,8511000,1515,285,885,555,435,-195,0
0.640081,2,17,5758000,8510000,8527000,-1171,-509,-611,-413,-379,-277,0
0.644899,1,106,7564000,8525000,8531000,1478,262,898,566,422,-214,0
0.660456,2,18,5779000,8531000,8547000,-1134,-486,-594,-402,-366,-258,0
0.665388,1,107,7585000,8547000,8552000,1441,239,881,577,409,-233,0
0.681405,2,19,5799000,8551000,8567000,-1097,-463,-577,-391,-353,-239,0
0.685301,1,108,7605000,8567000,8572000,1404,216,864,588,396,-252,0
0.701230,2,20,5819000,8571000,8588000,-1060,-440,-560,-380,-340,-220,0
0.705549,1,109,7625000,8587000,8592000,1367,193,847,599,383,-271,0
0.721361,2,21,5840000,8592000,8608000,-1023,-417,-543,-369,-327,-201,0
0.725680,1,110,7645000,8608000,8612000,1330,170,830,590,370,-290,0
0.741507,2,22,5860000,8612000,8628000,-986,-394,-526,-358,-314,-182,0
0.745812,1,111,7665000,8627000,8632000,1293,147,813,579,357,-309,0
0.761723,2,23,5880000,8632000,8648000,-949,-371,-509,-347,-301,-163,0
0.765759,1,112,7685000,8647000,8652000,1256,124,796,568,344,-328,0
0.781934,2,24,5900000,8652000,8668000,-912,-348,-492,-336,-288,-144,0
0.785968,1,113,7705000,8667000,8672000,1219,101,779,557,331,-347,0
